2026-07-30 20:12:51 | INFO     | src/logging_config.py:188 | 日志系统初始化完成，日志目录: logs
2026-07-30 20:12:51 | INFO     | src/logging_config.py:189 | 常规日志: logs/stock_analysis_20260730.log
2026-07-30 20:12:51 | INFO     | src/logging_config.py:190 | 调试日志: logs/stock_analysis_debug_20260730.log
2026-07-30 20:12:51 | INFO     | main.py:791 | ============================================================
2026-07-30 20:12:51 | INFO     | main.py:792 | A股自选股智能分析系统 启动
2026-07-30 20:12:51 | INFO     | main.py:793 | 运行时间: 2026-07-30 20:12:51
2026-07-30 20:12:51 | INFO     | main.py:794 | ============================================================
2026-07-30 20:12:51 | WARNING  | main.py:799 | 未配置 Tushare Token，将使用其他数据源
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f50d2b2a5d0>
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x7f50d2a6b140> server_hostname='raw.githubusercontent.com' timeout=5
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f50d2afcf90>
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_headers.started request=<Request [b'GET']>
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_headers.complete
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_body.started request=<Request [b'GET']>
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_body.complete
2026-07-30 20:12:53 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | receive_response_headers.started request=<Request [b'GET']>
