2026-07-21 20:53:25 | INFO     | src/logging_config.py:188 | 日志系统初始化完成，日志目录: logs
2026-07-21 20:53:25 | INFO     | src/logging_config.py:189 | 常规日志: logs/stock_analysis_20260721.log
2026-07-21 20:53:25 | INFO     | src/logging_config.py:190 | 调试日志: logs/stock_analysis_debug_20260721.log
2026-07-21 20:53:25 | INFO     | main.py:791 | ============================================================
2026-07-21 20:53:25 | INFO     | main.py:792 | A股自选股智能分析系统 启动
2026-07-21 20:53:25 | INFO     | main.py:793 | 运行时间: 2026-07-21 20:53:25
2026-07-21 20:53:25 | INFO     | main.py:794 | ============================================================
2026-07-21 20:53:25 | WARNING  | main.py:799 | 未配置 Tushare Token，将使用其他数据源
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | connect_tcp.started host='raw.githubusercontent.com' port=443 local_address=None timeout=5 socket_options=None
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f3995a0cf50>
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | start_tls.started ssl_context=<ssl.SSLContext object at 0x7f3995b82f00> server_hostname='raw.githubusercontent.com' timeout=5
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f3995c1f210>
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_headers.started request=<Request [b'GET']>
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_headers.complete
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_body.started request=<Request [b'GET']>
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | send_request_body.complete
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | receive_response_headers.started request=<Request [b'GET']>
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Connection', b'keep-alive'), (b'Content-Length', b'81527'), (b'Cache-Control', b'max-age=300'), (b'Content-Security-Policy', b"default-src 'none'; style-src 'unsafe-inline'; sandbox"), (b'Content-Type', b'text/plain; charset=utf-8'), (b'ETag', b'W/"1397ae6446084e2f33363e034cb18db96bd4d8ad622171f85380e0f3ff86b46d"'), (b'Strict-Transport-Security', b'max-age=31536000'), (b'X-Content-Type-Options', b'nosniff'), (b'X-Frame-Options', b'deny'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-GitHub-Request-Id', b'A2E6:3729C1:AB797:12D6CA:6A5C0EA3'), (b'Content-Encoding', b'gzip'), (b'Accept-Ranges', b'bytes'), (b'Date', b'Tue, 21 Jul 2026 20:53:26 GMT'), (b'Via', b'1.1 varnish'), (b'X-Served-By', b'cache-dfw-kdfw8210129-DFW'), (b'X-Cache', b'HIT'), (b'X-Cache-Hits', b'49'), (b'X-Timer', b'S1784667206.063194,VS0,VE0'), (b'Vary', b'Authorization,Accept-Encoding'), (b'Access-Control-Allow-Origin', b'*'), (b'Cross-Origin-Resource-Policy', b'cross-origin'), (b'X-Fastly-Request-ID', b'1144adf29094aecbfd0ed21218ea471b36633412'), (b'Expires', b'Tue, 21 Jul 2026 20:58:26 GMT'), (b'Source-Age', b'156')])
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | receive_response_body.started request=<Request [b'GET']>
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | receive_response_body.complete
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | response_closed.started
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | response_closed.complete
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | close.started
2026-07-21 20:53:26 | DEBUG    | /opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/site-packages/httpcore/_trace.py:47 | close.complete
